Pokemon,Type1,Type2,FastMove,FastType,ChargedMove,ChargedMoveType,Stamina,Attack,Defense,DPS,TDO,DPSxTDO,CP,Generation,Legendary,TypeColor
Mew,Psychic,,Pound,Normal,Overheat,Fire,200,210,200,11.72,393.4,"4,611.10","3,090",1,FALSE,deeppink1
Spiritomb,Ghost,Dark,Sucker Punch,Dark,Shadow Ball,Ghost,100,169,216,11.717,264.5,"3,098.90","2,072",4,FALSE,midnightblue
Mew,Psychic,,Cut,Normal,Grass Knot,Grass,200,210,200,11.713,393.2,"4,606.10","3,090",1,FALSE,deeppink1
Mew,Psychic,,Cut,Normal,Wild Charge,Electric,200,210,200,11.713,393.2,"4,606.10","3,090",1,FALSE,deeppink1
Haunter,Ghost,Poison,Lick,Ghost,Dark Pulse,Dark,90,223,108,11.709,108.4,"1,268.80","1,716",1,FALSE,midnightblue
Golem,Rock,Ground,Rock Throw,Rock,Ancient Power,Rock,160,211,244,11.708,347,"4,062.30","2,916",1,FALSE,sienna4
Froslass,Ice,Ghost,Hex,Ghost,Shadow Ball,Ghost,140,171,140,11.706,250.7,"2,934.20","2,040",4,FALSE,cyan2
Kingler,Water,,Metal Claw,Steel,X-scissor,Bug,110,240,214,11.703,232.5,"2,720.50","2,694",1,FALSE,dodgerblue2
Mew,Psychic,,Dragon Tail,Dragon,Solar Beam,Grass,200,210,200,11.703,392.9,"4,598.20","3,090",1,FALSE,deeppink1
Gyarados,Water,Flying,Bite,Dark,Dragon Pulse,Dragon,190,237,195,11.702,352.9,"4,130","3,281",1,FALSE,dodgerblue2
Gyarados,Water,Flying,Dragon Breath,Dragon,Dragon Pulse,Dragon,190,237,195,11.702,352.9,"4,130","3,281",1,FALSE,dodgerblue2
Kingler,Water,,Metal Claw,Steel,Water Pulse,Water,110,240,214,11.697,232.4,"2,717.80","2,694",1,FALSE,dodgerblue2
Mew,Psychic,,Shadow Claw,Ghost,Overheat,Fire,200,210,200,11.696,392.7,"4,592.70","3,090",1,FALSE,deeppink1
Flygon,Ground,Dragon,Dragon Tail,Dragon,Stone Edge,Rock,160,205,160,11.694,259.9,"3,039.20","2,458",3,FALSE,peru
Banette,Ghost,,Hex,Ghost,Dazzling Gleam,Fairy,128,218,130,11.693,164.8,"1,926.60","2,073",3,FALSE,midnightblue
Hitmonlee,Fighting,,Low Kick,Fighting,Brick Break,Fighting,100,224,206,11.69,210.8,"2,464.80","2,406",1,FALSE,chocolate2
Froslass,Ice,Ghost,Powder Snow,Ice,Shadow Ball,Ghost,140,171,140,11.686,250.2,"2,924.10","2,040",4,FALSE,cyan2
Mew,Psychic,,Steel Wing,Steel,Overheat,Fire,200,210,200,11.678,392,"4,577.90","3,090",1,FALSE,deeppink1
Sunflora,Grass,,Razor Leaf,Grass,Solar Beam,Grass,150,185,163,11.675,217.9,"2,544.20","2,048",2,FALSE,green2
Tangela,Grass,,Infestation,Bug,Grass Knot,Grass,130,183,211,11.672,258.4,"3,016.20","2,208",1,FALSE,green2
Tangela,Grass,,Infestation,Bug,Power Whip,Grass,130,183,211,11.672,258.4,"3,016.20","2,208",1,FALSE,green2
Glaceon,Ice,,Frost Breath,Ice,Icy Wind,Ice,130,238,216,11.667,317.1,"3,699.10","3,126",4,FALSE,cyan2
Donphan,Ground,,Counter,Fighting,Earthquake,Ground,180,214,225,11.66,361.3,"4,213","3,022",2,FALSE,peru
Charizard,Fire,Flying,Ember,Fire,Dragon Claw,Dragon,156,223,168,11.656,264.2,"3,079.50","2,686",1,FALSE,firebrick
Magneton,Electric,Steel,Charge Beam,Electric,Zap Cannon,Electric,100,223,184,11.654,183.2,"2,135.30","2,237",1,FALSE,yellow2
Mew,Psychic,,Dragon Tail,Dragon,Overheat,Fire,200,210,200,11.652,391.2,"4,558.10","3,090",1,FALSE,deeppink1
Mew,Psychic,,Waterfall,Water,Psyshock,Psychic,200,210,200,11.65,391.1,"4,556.30","3,090",1,FALSE,deeppink1
Alolan Muk,Dark,Poison,Poison Jab,Poison,Dark Pulse,Dark,210,190,184,11.648,361.9,"4,215.70","2,709",Alolan,FALSE,gray0
Beedrill,Bug,Poison,Bug Bite,Bug,Sludge Bomb,Poison,130,169,150,11.647,193.4,"2,252.30","1,777",1,FALSE,darkgreen
Weepinbell,Grass,Poison,Razor Leaf,Grass,Sludge Bomb,Poison,130,172,99,11.643,128.9,"1,500.60","1,475",1,FALSE,green2
Alolan Dugtrio,Ground,Steel,Metal Claw,Steel,Iron Head,Steel,70,201,148,11.639,111.9,"1,302.60","1,587",Alolan,FALSE,peru
Cloyster,Water,Ice,Frost Breath,Ice,Avalanche,Ice,100,186,326,11.634,313.8,"3,650.80","2,475",1,FALSE,dodgerblue2
Aerodactyl,Rock,Flying,Bite,Dark,Ancient Power,Rock,160,221,148,11.632,252.9,"2,941.10","2,608",1,FALSE,sienna4
Cherrim,Grass,,Razor Leaf,Grass,Power Whip,Grass,140,170,154,11.624,253.4,"2,945.90","2,048",4,FALSE,green2
Raikou,Electric,,Volt Switch,Electric,Thunder,Electric,180,241,194,11.623,353.9,"4,113.50","3,349",2,TRUE,yellow2
Stantler,Normal,,Tackle,Normal,Wild Charge,Electric,146,192,129,11.623,190.9,"2,218.70","1,988",2,FALSE,ivory2
Poliwrath,Water,Fighting,Rock Smash,Fighting,Dynamic Punch,Fighting,180,182,189,11.62,317.6,"3,690.70","2,441",1,FALSE,dodgerblue2
Rhydon,Ground,Rock,Mud Slap,Ground,Earthquake,Ground,210,222,221,11.619,400.9,"4,658.30","3,300",1,FALSE,peru
Magmar,Fire,,Ember,Fire,Fire Punch,Fire,130,206,163,11.609,214.9,"2,495.30","2,254",1,FALSE,firebrick
Heracross,Bug,Fighting,Struggle Bug,Bug,Megahorn,Bug,160,234,185,11.608,287.6,"3,338.50","2,938",2,FALSE,darkgreen
Spiritomb,Ghost,Dark,Feint Attack,Dark,Shadow Ball,Ghost,100,169,216,11.608,262,"3,041.90","2,072",4,FALSE,midnightblue
Donphan,Ground,,Counter,Fighting,Heavy Slam,Steel,180,214,225,11.606,359.7,"4,174.40","3,022",2,FALSE,peru
Magnezone,Electric,Steel,Charge Beam,Electric,Flash Cannon,Steel,140,238,224,11.606,331.3,"3,845.50","3,205",4,FALSE,yellow2
Magmar,Fire,,Karate Chop,Fighting,Fire Punch,Fire,130,206,163,11.604,214.8,"2,492.90","2,254",1,FALSE,firebrick
Torterra,Grass,Ground,Razor Leaf,Grass,Earthquake,Ground,190,202,205,11.602,377.5,"4,380.20","2,934",4,FALSE,green2
Arcanine,Fire,,Fire Fang,Fire,Crunch,Dark,180,227,160,11.601,284.1,"3,296.40","2,839",1,FALSE,firebrick
Electabuzz,Electric,,Low Kick,Fighting,Thunderbolt,Electric,130,198,163,11.601,219.5,"2,546","2,196",1,FALSE,yellow2
Sharpedo,Water,Dark,Bite,Dark,Poison Fang,Poison,140,243,80,11.599,122.3,"1,418.20","1,986",3,FALSE,dodgerblue2
Ursaring,Normal,,Metal Claw,Steel,Close Combat,Fighting,180,236,150,11.599,249.6,"2,894.60","2,760",2,FALSE,ivory2
Mew,Psychic,,Frost Breath,Ice,Psyshock,Psychic,200,210,200,11.598,389.4,"4,515.80","3,090",1,FALSE,deeppink1
Gyarados,Water,Flying,Dragon Tail,Dragon,Crunch,Dark,190,237,195,11.597,349.8,"4,056.40","3,281",1,FALSE,dodgerblue2
Leafeon,Grass,,Quick Attack,Normal,Energy Ball,Grass,130,216,244,11.596,335.2,"3,887.10","2,944",4,FALSE,green2
Swampert,Water,Ground,Water Gun,Water,Earthquake,Ground,200,208,180,11.594,328.7,"3,810.50","2,815",3,FALSE,dodgerblue2
Dodrio,Normal,Flying,Steel Wing,Steel,Brave Bird,Flying,120,218,138,11.59,177,"2,051.40","2,205",1,FALSE,ivory2
Milotic,Water,,Dragon Tail,Dragon,Surf,Water,190,192,239,11.59,423.8,"4,911.60","2,967",3,FALSE,dodgerblue2
Kingdra,Water,Dragon,Waterfall,Water,Hydro Pump,Water,150,194,190,11.585,277.3,"3,212.10","2,424",2,FALSE,dodgerblue2
Rapidash,Fire,,Fire Spin,Fire,Drill Run,Ground,130,207,158,11.583,212.1,"2,457","2,252",1,FALSE,firebrick
Camerupt,Fire,Ground,Ember,Fire,Overheat,Fire,140,194,149,11.582,191.9,"2,222.10","2,016",3,FALSE,firebrick
Mew,Psychic,,Poison Jab,Poison,Solar Beam,Grass,200,210,200,11.581,388.8,"4,502.70","3,090",1,FALSE,deeppink1
Feraligatr,Water,,Bite,Dark,Hydro Pump,Water,170,205,196,11.575,315,"3,646.40","2,721",2,FALSE,dodgerblue2
Mew,Psychic,,Steel Wing,Steel,Surf,Water,200,210,200,11.573,388.5,"4,496.40","3,090",1,FALSE,deeppink1
Hitmonlee,Fighting,,Rock Smash,Fighting,Brick Break,Fighting,100,224,206,11.572,208.7,"2,415.10","2,406",1,FALSE,chocolate2
Kingdra,Water,Dragon,Water Gun,Water,Hydro Pump,Water,150,194,190,11.567,276.8,"3,201.70","2,424",2,FALSE,dodgerblue2
Mew,Psychic,,Dragon Tail,Dragon,Surf,Water,200,210,200,11.566,388.3,"4,490.60","3,090",1,FALSE,deeppink1
Muk,Poison,,Lick,Ghost,Gunk Shot,Poison,210,190,194,11.566,359.4,"4,156.90","2,709",1,FALSE,purple3
Alolan Muk,Dark,Poison,Bite,Dark,Dark Pulse,Dark,210,190,184,11.563,359.3,"4,154.20","2,709",Alolan,FALSE,gray0
Crobat,Poison,Flying,Air Slash,Flying,Shadow Ball,Ghost,170,194,160,11.563,286.5,"3,312.90","2,466",2,FALSE,purple3
Deoxys (Speed Forme),Psychic,,Zen Headbutt,Psychic,Zap Cannon,Electric,100,230,180,11.561,215,"2,485.50","2,504",3,TRUE,deeppink1
Mew,Psychic,,Waterfall,Water,Grass Knot,Grass,200,210,200,11.559,388,"4,485.40","3,090",1,FALSE,deeppink1
Mew,Psychic,,Waterfall,Water,Wild Charge,Electric,200,210,200,11.559,388,"4,485.40","3,090",1,FALSE,deeppink1
Hitmonchan,Fighting,,Counter,Fighting,Close Combat,Fighting,100,193,212,11.557,209.4,"2,419.50","2,098",1,FALSE,chocolate2
Mew,Psychic,,Shadow Claw,Ghost,Surf,Water,200,210,200,11.557,388,"4,484.20","3,090",1,FALSE,deeppink1
Venusaur,Grass,Poison,Razor Leaf,Grass,Petal Blizzard,Grass,160,198,196,11.556,298.9,"3,454.30","2,568",1,FALSE,green2
Toxicroak,Poison,Fighting,Counter,Fighting,Mud Bomb,Ground,166,211,130,11.555,249.2,"2,879.60","2,488",4,FALSE,purple3
Alolan Dugtrio,Ground,Steel,Metal Claw,Steel,Mud Bomb,Ground,70,201,148,11.544,111,"1,281.20","1,587",Alolan,FALSE,peru
Mew,Psychic,,Steel Wing,Steel,Dazzling Gleam,Fairy,200,210,200,11.539,387.4,"4,469.80","3,090",1,FALSE,deeppink1
Mew,Psychic,,Pound,Normal,Surf,Water,200,210,200,11.538,387.3,"4,469","3,090",1,FALSE,deeppink1
Aerodactyl,Rock,Flying,Bite,Dark,Hyper Beam,Normal,160,221,148,11.534,250.7,"2,891.80","2,608",1,FALSE,sienna4
Mew,Psychic,,Dragon Tail,Dragon,Dazzling Gleam,Fairy,200,210,200,11.528,387,"4,461.40","3,090",1,FALSE,deeppink1
Mew,Psychic,,Shadow Claw,Ghost,Dazzling Gleam,Fairy,200,210,200,11.525,386.9,"4,458.90","3,090",1,FALSE,deeppink1
Mew,Psychic,,Poison Jab,Poison,Overheat,Fire,200,210,200,11.519,386.7,"4,454.30","3,090",1,FALSE,deeppink1
Lunatone,Rock,Psychic,Rock Throw,Rock,Rock Slide,Rock,140,178,165,11.515,277.4,"3,194.20","2,245",3,FALSE,sienna4
Mew,Psychic,,Steel Wing,Steel,Thunderbolt,Electric,200,210,200,11.515,386.6,"4,451.30","3,090",1,FALSE,deeppink1
Omastar,Rock,Water,Mud Shot,Ground,Rock Slide,Rock,140,207,236,11.515,299.8,"3,451.80","2,685",1,FALSE,sienna4
Solrock,Rock,Psychic,Rock Throw,Rock,Rock Slide,Rock,140,178,165,11.515,277.4,"3,194.20","2,245",3,FALSE,sienna4
Mew,Psychic,,Charge Beam,Electric,Psyshock,Psychic,200,210,200,11.513,386.5,"4,449.50","3,090",1,FALSE,deeppink1
Hitmonlee,Fighting,,Rock Smash,Fighting,Close Combat,Fighting,100,224,206,11.512,207.6,"2,390.20","2,406",1,FALSE,chocolate2
Mew,Psychic,,Pound,Normal,Dazzling Gleam,Fairy,200,210,200,11.508,386.3,"4,445.90","3,090",1,FALSE,deeppink1
Murkrow,Dark,Flying,Feint Attack,Dark,Foul Play,Dark,120,175,84,11.505,109.9,"1,265","1,392",2,FALSE,gray0
Mew,Psychic,,Dragon Tail,Dragon,Thunderbolt,Electric,200,210,200,11.504,386.2,"4,442.70","3,090",1,FALSE,deeppink1
Aggron,Steel,Rock,Dragon Tail,Dragon,Heavy Slam,Steel,140,198,330,11.502,407.1,"4,682","3,004",3,FALSE,darkslategray4
Mew,Psychic,,Shadow Claw,Ghost,Thunderbolt,Electric,200,210,200,11.497,386,"4,437.20","3,090",1,FALSE,deeppink1
Golduck,Water,,Water Gun,Water,Hydro Pump,Water,160,191,160,11.496,248.5,"2,857","2,270",1,FALSE,dodgerblue2
Mew,Psychic,,Frost Breath,Ice,Grass Knot,Grass,200,210,200,11.496,385.9,"4,436.90","3,090",1,FALSE,deeppink1
Mew,Psychic,,Frost Breath,Ice,Wild Charge,Electric,200,210,200,11.496,385.9,"4,436.90","3,090",1,FALSE,deeppink1
Omastar,Rock,Water,Rock Throw,Rock,Ancient Power,Rock,140,207,236,11.49,299.1,"3,436.60","2,685",1,FALSE,sienna4
Beedrill,Bug,Poison,Poison Jab,Poison,Sludge Bomb,Poison,130,169,150,11.48,190.6,"2,188","1,777",1,FALSE,darkgreen
Drapion,Poison,Dark,Poison Sting,Poison,Sludge Bomb,Poison,140,180,211,11.48,323.3,"3,711.40","2,453",4,FALSE,purple3
Weepinbell,Grass,Poison,Bullet Seed,Grass,Power Whip,Grass,130,172,99,11.48,127.1,"1,458.80","1,475",1,FALSE,green2
Mew,Psychic,,Pound,Normal,Thunderbolt,Electric,200,210,200,11.475,385.2,"4,420.20","3,090",1,FALSE,deeppink1
Luxio,Electric,,Spark,Electric,Wild Charge,Electric,120,159,98,11.474,148.9,"1,708.60","1,486",4,FALSE,yellow2
Primeape,Fighting,,Low Kick,Fighting,Cross Chop,Fighting,130,207,138,11.467,183.5,"2,104","2,105",1,FALSE,chocolate2
Poliwrath,Water,Fighting,Mud Shot,Ground,Dynamic Punch,Fighting,180,182,189,11.46,313.3,"3,590.30","2,441",1,FALSE,dodgerblue2
Kadabra,Psychic,,Psycho Cut,Psychic,Psybeam,Psychic,80,232,130,11.456,115.6,"1,323.80","1,859",1,FALSE,deeppink1
Wigglytuff,Normal,Fairy,Pound,Normal,Play Rough,Fairy,280,156,99,11.452,253.2,"2,899.90","1,906",1,FALSE,ivory2
Mothim,Bug,Flying,Bug Bite,Bug,Bug Buzz,Bug,140,185,100,11.449,167.9,"1,922.30","1,815",4,FALSE,darkgreen
Mew,Psychic,,Steel Wing,Steel,Hyper Beam,Normal,200,210,200,11.435,383.9,"4,389.70","3,090",1,FALSE,deeppink1
Porygon2,Normal,,Hidden Power,Normal,Hyper Beam,Normal,170,198,189,11.435,290.7,"3,323.90","2,546",2,FALSE,ivory2
Articuno,Ice,Flying,Frost Breath,Ice,Blizzard,Ice,180,192,244,11.432,408.4,"4,668.90","2,933",1,TRUE,cyan2
Mew,Psychic,,Shadow Claw,Ghost,Hyper Beam,Normal,200,210,200,11.431,383.8,"4,386.80","3,090",1,FALSE,deeppink1
Weezing,Poison,,Acid,Poison,Sludge Bomb,Poison,130,174,228,11.431,271.4,"3,102.80","2,183",1,FALSE,purple3
Mew,Psychic,,Pound,Normal,Hyper Beam,Normal,200,210,200,11.426,383.6,"4,383.10","3,090",1,FALSE,deeppink1
Aerodactyl,Rock,Flying,Steel Wing,Steel,Iron Head,Steel,160,221,148,11.425,248.4,"2,837.60","2,608",1,FALSE,sienna4
Cloyster,Water,Ice,Ice Shard,Ice,Avalanche,Ice,100,186,326,11.423,308.1,"3,519.70","2,475",1,FALSE,dodgerblue2
Aggron,Steel,Rock,Iron Tail,Steel,Stone Edge,Rock,140,198,330,11.422,404.2,"4,617","3,004",3,FALSE,darkslategray4
Articuno,Ice,Flying,Frost Breath,Ice,Ice Beam,Ice,180,192,244,11.421,408,"4,659.70","2,933",1,TRUE,cyan2
Arcanine,Fire,,Fire Fang,Fire,Bulldoze,Ground,180,227,160,11.42,279.7,"3,194.40","2,839",1,FALSE,firebrick
Grovyle,Grass,,Quick Attack,Normal,Leaf Blade,Grass,100,172,125,11.42,132.2,"1,509.20","1,508",3,FALSE,green2
Mr. Mime,Psychic,Fairy,Confusion,Psychic,Shadow Ball,Ghost,80,192,226,11.412,186.6,"2,129.20","1,984",1,FALSE,deeppink1
Ninjask,Bug,Flying,Fury Cutter,Bug,Aerial Ace,Flying,122,199,99,11.409,142.1,"1,621.30","1,790",3,FALSE,darkgreen
Grovyle,Grass,,Quick Attack,Normal,Grass Knot,Grass,100,172,125,11.405,132,"1,505.20","1,508",3,FALSE,green2
Mew,Psychic,,Charge Beam,Electric,Grass Knot,Grass,200,210,200,11.401,382.7,"4,363.40","3,090",1,FALSE,deeppink1
Mew,Psychic,,Charge Beam,Electric,Wild Charge,Electric,200,210,200,11.401,382.7,"4,363.40","3,090",1,FALSE,deeppink1
Mew,Psychic,,Dragon Tail,Dragon,Hyper Beam,Normal,200,210,200,11.399,382.7,"4,362.50","3,090",1,FALSE,deeppink1
Mew,Psychic,,Poison Jab,Poison,Dazzling Gleam,Fairy,200,210,200,11.397,382.6,"4,360.50","3,090",1,FALSE,deeppink1
Mew,Psychic,,Struggle Bug,Bug,Psyshock,Psychic,200,210,200,11.392,382.4,"4,357","3,090",1,FALSE,deeppink1
Magneton,Electric,Steel,Thunder Shock,Electric,Flash Cannon,Steel,100,223,184,11.39,179.1,"2,039.80","2,237",1,FALSE,yellow2
Mew,Psychic,,Poison Jab,Poison,Surf,Water,200,210,200,11.39,382.4,"4,355","3,090",1,FALSE,deeppink1
Noctowl,Normal,Flying,Wing Attack,Flying,Sky Attack,Flying,200,145,181,11.388,329.6,"3,753.90","2,245",2,FALSE,ivory2
Gyarados,Water,Flying,Bite,Dark,Crunch,Dark,190,237,195,11.385,343.4,"3,909","3,281",1,FALSE,dodgerblue2
Gyarados,Water,Flying,Dragon Breath,Dragon,Crunch,Dark,190,237,195,11.385,343.4,"3,909","3,281",1,FALSE,dodgerblue2
Pinsir,Bug,,Fury Cutter,Bug,Submission,Fighting,130,238,193,11.385,242.9,"2,764.90","2,770",1,FALSE,darkgreen
Clefable,Fairy,,Pound,Normal,Dazzling Gleam,Fairy,190,178,176,11.382,301.2,"3,427.80","2,353",1,FALSE,pink1
Kabutops,Rock,Water,Fury Cutter,Bug,Ancient Power,Rock,120,220,201,11.378,232.4,"2,643.80","2,517",1,FALSE,sienna4
Hariyama,Fighting,,Bullet Punch,Steel,Close Combat,Fighting,288,209,120,11.376,308.6,"3,510.50","2,765",3,FALSE,chocolate2
Mew,Psychic,,Snarl,Dark,Solar Beam,Grass,200,210,200,11.372,381.8,"4,341.60","3,090",1,FALSE,deeppink1
Donphan,Ground,,Tackle,Normal,Play Rough,Fairy,180,214,225,11.368,352.3,"4,005.10","3,022",2,FALSE,peru
Primeape,Fighting,,Counter,Fighting,Low Sweep,Fighting,130,207,138,11.367,181.9,"2,067.40","2,105",1,FALSE,chocolate2
Glaceon,Ice,,Ice Shard,Ice,Icy Wind,Ice,130,238,216,11.366,308.9,"3,510.80","3,126",4,FALSE,cyan2
Meganium,Grass,,Vine Whip,Grass,Solar Beam,Grass,160,168,200,11.366,299.5,"3,404.40","2,227",Mega,FALSE,green2
Lunatone,Rock,Psychic,Confusion,Psychic,Rock Slide,Rock,140,178,165,11.354,273.5,"3,105.10","2,245",3,FALSE,sienna4
Solrock,Rock,Psychic,Confusion,Psychic,Rock Slide,Rock,140,178,165,11.354,273.5,"3,105.10","2,245",3,FALSE,sienna4
Mew,Psychic,,Poison Jab,Poison,Thunderbolt,Electric,200,210,200,11.348,381,"4,323.50","3,090",1,FALSE,deeppink1
Huntail,Water,,Water Gun,Water,Aqua Tail,Water,110,197,203,11.342,205.6,"2,332.30","2,140",3,FALSE,dodgerblue2
Omastar,Rock,Water,Water Gun,Water,Rock Blast,Rock,140,207,236,11.342,295.2,"3,348.40","2,685",1,FALSE,sienna4
Mew,Psychic,,Rock Smash,Fighting,Psyshock,Psychic,200,210,200,11.34,380.7,"4,316.70","3,090",1,FALSE,deeppink1
Cranidos,Rock,,Take Down,Normal,Ancient Power,Rock,134,218,78,11.339,123.2,"1,396.60","1,820",4,FALSE,sienna4
Feraligatr,Water,,Waterfall,Water,Ice Beam,Ice,170,205,196,11.336,308.5,"3,497.30","2,721",2,FALSE,dodgerblue2
Togekiss,Fairy,Flying,Hidden Power,Normal,Aerial Ace,Flying,170,225,225,11.332,388.6,"4,404.10","3,332",4,FALSE,pink1
Mew,Psychic,,Steel Wing,Steel,Blizzard,Ice,200,210,200,11.328,380.3,"4,307.70","3,090",1,FALSE,deeppink1
Starmie,Water,Psychic,Tackle,Normal,Hydro Pump,Water,120,210,170,11.326,211.1,"2,391.40","2,303",1,FALSE,dodgerblue2
Walrein,Ice,Water,Waterfall,Water,Blizzard,Ice,220,182,180,11.325,352.8,"3,995.10","2,606",3,FALSE,cyan2
Froslass,Ice,Ghost,Hex,Ghost,Avalanche,Ice,140,171,140,11.315,242.3,"2,741.40","2,040",4,FALSE,cyan2
Mew,Psychic,,Steel Wing,Steel,Focus Blast,Fighting,200,210,200,11.315,379.8,"4,297.80","3,090",1,FALSE,deeppink1
Primeape,Fighting,,Low Kick,Fighting,Close Combat,Fighting,130,207,138,11.315,181,"2,048.30","2,105",1,FALSE,chocolate2
Tangrowth,Grass,,Infestation,Bug,Sludge Bomb,Poison,200,207,231,11.314,375,"4,243","3,030",4,FALSE,green2
Mew,Psychic,,Shadow Claw,Ghost,Blizzard,Ice,200,210,200,11.313,379.8,"4,296.60","3,090",1,FALSE,deeppink1
Toxicroak,Poison,Fighting,Poison Jab,Poison,Mud Bomb,Ground,166,211,130,11.305,243.8,"2,756.40","2,488",4,FALSE,purple3
Mew,Psychic,,Shadow Claw,Ghost,Focus Blast,Fighting,200,210,200,11.299,379.3,"4,286","3,090",1,FALSE,deeppink1
Luxray,Electric,,Spark,Electric,Crunch,Dark,160,232,158,11.295,274.8,"3,103.70","2,888",4,FALSE,yellow2
Mew,Psychic,,Pound,Normal,Blizzard,Ice,200,210,200,11.295,379.2,"4,282.70","3,090",1,FALSE,deeppink1
Latias,Dragon,Psychic,Zen Headbutt,Psychic,Thunder,Electric,160,228,250,11.294,388.2,"4,383.80","3,377",3,TRUE,cornflowerblue
Mew,Psychic,,Cut,Normal,Solar Beam,Grass,200,210,200,11.294,379.2,"4,282.20","3,090",1,FALSE,deeppink1
Mew,Psychic,,Snarl,Dark,Overheat,Fire,200,210,200,11.29,379,"4,278.80","3,090",1,FALSE,deeppink1
Wigglytuff,Normal,Fairy,Pound,Normal,Dazzling Gleam,Fairy,280,156,99,11.288,249.6,"2,817.30","1,906",1,FALSE,ivory2
Golem,Rock,Ground,Mud Shot,Ground,Stone Edge,Rock,160,211,244,11.287,334.5,"3,775","2,916",1,FALSE,sienna4
Hariyama,Fighting,,Bullet Punch,Steel,Heavy Slam,Steel,288,209,120,11.287,306.1,"3,455.40","2,765",3,FALSE,chocolate2
Mew,Psychic,,Dragon Tail,Dragon,Blizzard,Ice,200,210,200,11.285,378.9,"4,275.40","3,090",1,FALSE,deeppink1
Mew,Psychic,,Pound,Normal,Focus Blast,Fighting,200,210,200,11.28,378.7,"4,271.20","3,090",1,FALSE,deeppink1
Manaphy,Water,,Bubble,Water,Bubble Beam,Water,200,210,200,11.278,422.6,"4,766.30","3,265",4,FALSE,dodgerblue2
Rapidash,Fire,,Fire Spin,Fire,Heat Wave,Fire,130,207,158,11.274,206.5,"2,327.90","2,252",1,FALSE,firebrick
Mew,Psychic,,Dragon Tail,Dragon,Focus Blast,Fighting,200,210,200,11.273,378.4,"4,266.30","3,090",1,FALSE,deeppink1
Ninjask,Bug,Flying,Metal Claw,Steel,Bug Buzz,Bug,122,199,99,11.271,140.4,"1,582.20","1,790",3,FALSE,darkgreen
Giratina (Origin Forme),Ghost,Dragon,Shadow Claw,Ghost,Shadow Sneak,Ghost,300,247,200,11.27,472.4,"5,323.80","3,683",4,TRUE,midnightblue
Magneton,Electric,Steel,Spark,Electric,Flash Cannon,Steel,100,223,184,11.267,177.1,"1,995.70","2,237",1,FALSE,yellow2
Magmortar,Fire,,Karate Chop,Fighting,Brick Break,Fighting,150,247,183,11.264,286.5,"3,227.20","3,132",4,FALSE,firebrick
Crobat,Poison,Flying,Bite,Dark,Shadow Ball,Ghost,170,194,160,11.263,279.1,"3,143.10","2,466",2,FALSE,purple3
Mamoswine,Ice,Ground,Powder Snow,Ice,Stone Edge,Rock,220,247,155,11.263,323.4,"3,642.70","3,328",4,FALSE,cyan2
Wailord,Water,,Zen Headbutt,Psychic,Surf,Water,340,175,90,11.263,283,"3,187.50","2,258",3,FALSE,dodgerblue2
Murkrow,Dark,Flying,Feint Attack,Dark,Drill Peck,Flying,120,175,84,11.262,107.6,"1,212","1,392",2,FALSE,gray0
Bellossom,Grass,,Razor Leaf,Grass,Leaf Blade,Grass,150,169,199,11.26,263,"2,961.40","2,108",2,FALSE,green2
Froslass,Ice,Ghost,Powder Snow,Ice,Avalanche,Ice,140,171,140,11.26,241.1,"2,714.90","2,040",4,FALSE,cyan2
Sneasel,Dark,Ice,Ice Shard,Ice,Foul Play,Dark,110,189,145,11.26,168,"1,891.60","1,868",2,FALSE,gray0
Mismagius,Ghost,,Sucker Punch,Dark,Dazzling Gleam,Fairy,120,211,199,11.259,268.3,"3,020.90","2,615",4,FALSE,midnightblue
Mismagius,Ghost,,Hex,Ghost,Dazzling Gleam,Fairy,120,211,199,11.256,268.2,"3,019.30","2,615",4,FALSE,midnightblue
Mew,Psychic,,Poison Jab,Poison,Hyper Beam,Normal,200,210,200,11.248,377.6,"4,247.50","3,090",1,FALSE,deeppink1
Mew,Psychic,,Struggle Bug,Bug,Grass Knot,Grass,200,210,200,11.245,377.5,"4,245","3,090",1,FALSE,deeppink1
Mew,Psychic,,Struggle Bug,Bug,Wild Charge,Electric,200,210,200,11.245,377.5,"4,245","3,090",1,FALSE,deeppink1
Mew,Psychic,,Snarl,Dark,Dazzling Gleam,Fairy,200,210,200,11.237,377.2,"4,239.30","3,090",1,FALSE,deeppink1
Staraptor,Normal,Flying,Quick Attack,Normal,Heat Wave,Fire,170,234,138,11.237,257.4,"2,892.90","2,825",4,FALSE,ivory2
Mew,Psychic,,Steel Wing,Steel,Rock Slide,Rock,200,210,200,11.229,377,"4,233","3,090",1,FALSE,deeppink1
Dodrio,Normal,Flying,Steel Wing,Steel,Air Cutter,Flying,120,218,138,11.225,171.4,"1,924.10","2,205",1,FALSE,ivory2
Drapion,Poison,Dark,Infestation,Bug,Sludge Bomb,Poison,140,180,211,11.219,315.9,"3,544.70","2,453",4,FALSE,purple3
Mew,Psychic,,Dragon Tail,Dragon,Rock Slide,Rock,200,210,200,11.206,376.2,"4,215.60","3,090",1,FALSE,deeppink1
Mew,Psychic,,Steel Wing,Steel,Dragon Claw,Dragon,200,210,200,11.205,376.2,"4,215.20","3,090",1,FALSE,deeppink1
